time,download,upload,ping
00:05,6.11,7.07,54.48
01:05,6.98,6.36,54.71
02:05,6.53,6.14,54.23
03:05,6.61,6.12,53.85
04:05,6.8,6.17,54.19
05:05,6.91,6.16,55.49
06:05,6.96,3.24,56.91
07:05,6.91,3.69,54.53
08:05,6.35,6.22,53.66
09:05,6.42,4.35,60.09
10:05,6.93,5.77,56.7
11:05,6.33,6.29,56.9
12:05,6.62,4.32,65.66
13:05,3.86,3.09,67.52
14:05,4.39,4.06,59.54
15:05,8.59,5.23,71.42
16:05,8.75,6.09,66.28
17:05,9.22,6.06,54.05
18:05,7.18,6.43,65.37
19:05,7.09,6.3,50.93
20:05,6.96,5.85,49.46
21:05,5.01,5.64,53.33
22:05,3.24,2.55,74.97
23:05,6.56,4.75,76.94
23:30,2.1,1.38,632.77
