time,download,upload,ping
00:05,9.16,8.26,50.44
01:05,9.38,8.06,53.18
02:05,10.1,8.33,53.52
03:05,11.31,7.92,54.66
04:05,10.74,8.54,52.63
05:05,9.88,9.03,52.11
06:05,11.1,9.05,53.37
07:05,11.28,8.71,53.49
08:05,10.33,4.88,52.51
09:05,8.82,5.79,50.82
10:05,3.75,3.18,61.86
11:05,2.39,2.27,475.2
12:05,2.69,3.78,59.41
13:05,4.93,3.64,62.59
14:05,5.1,3.32,65.62
15:05,3.92,7.06,54.12
16:05,6.5,7.55,53.0
17:05,4.3,3.82,54.33
18:05,5.48,3.74,54.51
19:05,2.82,4.3,57.35
20:05,5.72,2.43,66.67
21:05,8.96,7.37,54.32
22:05,12.37,6.55,51.76
23:05,10.55,6.29,53.12
