time,download,upload,ping
00:05,12.11,5.45,54.84
01:05,13.46,5.74,53.3
02:05,13.05,6.07,55.01
03:05,12.82,6.05,56.41
04:05,13.88,5.84,55.48
05:05,13.25,6.1,56.3
06:05,12.21,3.66,44.18
07:05,12.73,5.94,45.39
08:05,4.42,4.11,47.52
09:05,6.72,5.1,53.88
10:05,6.02,4.22,55.51
11:05,6.0,3.99,56.99
12:05,8.37,4.42,54.59
13:05,6.14,4.11,59.5
14:05,4.6,5.04,145.57
15:05,6.33,4.8,52.25
16:05,7.39,5.4,55.84
17:05,6.68,5.37,60.68
18:05,5.24,5.02,54.18
19:05,5.25,5.32,55.19
20:05,4.44,5.1,70.68
21:05,5.73,7.17,55.55
22:05,7.0,6.46,55.41
23:05,4.86,5.99,80.7
