time,download,upload,ping
00:00,11.17,2.6,41.2
01:00,10.72,1.8,40.72
02:00,9.83,1.84,38.35
03:00,9.54,2.26,40.89
04:00,9.14,2.29,36.76
05:00,9.51,2.53,40.24
06:00,7.59,2.42,50.3
07:00,10.25,2.82,36.03
08:00,9.14,2.4,41.16
09:00,10.27,1.91,47.49
10:00,7.4,2.4,38.53
11:00,7.3,4.63,41.81
12:00,5.26,1.95,36.94
13:00,5.86,1.51,38.02
14:00,7.39,3.18,33.86
15:00,4.92,4.75,38.51
16:00,8.49,1.64,48.75
17:00,5.61,1.72,60.52
18:00,6.22,0.67,95.69
19:00,9.49,3.29,40.36
20:00,6.67,1.23,40.84
21:00,9.0,1.31,39.88
22:00,7.18,1.0,38.31
23:00,8.9,1.25,39.78
23:30,10.5,1.96,33.19
