time,download,upload,ping
00:00,4.28,5.66,38.94
01:00,5.33,4.62,37.2
02:00,5.49,4.29,37.79
03:00,5.36,3.9,39.77
04:00,5.82,4.05,37.7
05:00,6.46,5.08,33.35
06:00,6.83,4.72,34.2
07:00,7.48,4.86,35.17
08:00,8.33,4.57,35.36
09:00,5.43,2.16,43.41
10:00,4.98,2.68,52.51
11:00,4.64,1.75,40.33
12:00,4.07,2.68,38.83
13:00,4.01,1.41,38.47
14:00,6.48,1.3,40.53
15:00,4.74,1.34,46.95
16:00,3.6,0.55,46.53
17:00,5.24,0.93,55.86
18:00,6.56,0.62,63.92
19:00,6.52,0.78,56.36
20:00,6.4,1.05,51.6
21:00,6.9,1.47,41.16
22:00,6.23,1.93,37.37
23:00,5.48,1.83,37.38
23:30,5.41,3.39,47.78
