time,download,upload,ping
00:00,6.25,0.91,33.38
01:00,6.47,1.78,48.0
02:00,8.67,1.58,38.71
03:00,9.51,1.46,34.35
04:00,8.2,1.69,34.15
05:00,8.91,1.38,33.19
06:00,7.99,1.22,38.61
07:00,6.65,1.41,32.47
08:00,5.44,1.46,32.86
09:00,4.89,1.45,43.63
10:00,4.13,1.35,73.67
11:00,5.32,2.93,61.01
12:00,6.04,2.45,52.51
13:00,5.34,1.45,62.02
14:00,5.31,1.4,50.02
15:00,5.03,1.95,56.7
16:00,5.77,1.63,49.78
17:00,9.1,1.44,57.52
18:00,10.12,1.65,62.09
19:00,11.22,1.06,62.69
20:00,10.29,1.33,55.02
21:00,8.99,1.76,58.51
22:00,9.59,0.7,60.2
23:00,10.37,0.85,64.61
23:30,10.05,1.1,57.69
