time,download,upload,ping
00:00,2.92,4.06,54.19
01:00,5.07,3.93,56.73
02:00,4.76,4.09,56.38
03:00,5.52,4.17,56.68
04:00,5.89,4.54,56.85
05:00,3.85,4.26,55.83
06:00,5.84,4.7,57.7
07:00,3.76,4.26,56.2
08:00,4.27,3.29,57.71
09:00,8.91,3.63,56.86
10:00,7.93,4.41,57.68
11:00,4.59,2.5,69.75
12:00,2.68,1.94,128.67
13:00,4.94,2.51,64.86
14:00,5.21,2.85,71.44
15:00,2.67,2.25,70.15
16:00,4.28,2.75,60.5
17:00,4.17,1.45,68.23
18:00,4.17,2.26,66.54
19:00,3.45,2.73,111.19
20:00,1.18,2.38,65.55
21:00,2.27,2.81,63.72
22:00,1.62,2.42,86.12
23:00,3.17,3.93,123.47
23:30,3.2,3.8,76.47
