time,download,upload,ping
00:00,2.6,2.6,69.85
01:00,2.49,2.05,71.4
02:00,2.7,1.97,78.19
03:00,2.7,1.84,78.04
04:00,2.67,2.12,73.74
05:00,2.62,1.64,65.86
06:00,2.36,1.48,80.69
07:00,2.44,1.47,86.08
08:00,1.92,1.92,77.23
09:00,4.15,2.73,74.7
10:00,5.49,5.27,60.21
11:00,2.16,4.45,182.71
12:00,3.33,5.13,71.11
13:00,6.23,4.61,39.35
14:00,5.26,5.15,39.68
15:00,3.32,4.98,39.84
16:00,4.43,5.24,39.54
17:00,3.08,3.03,39.64
18:00,3.11,5.7,39.33
19:00,1.55,2.57,46.26
20:00,2.1,3.05,49.54
21:00,2.99,2.73,43.68
22:00,2.73,2.96,44.35
23:00,2.7,1.82,59.98
23:30,1.67,5.2,59.53
