time,download,upload,ping
00:00,3.38,6.32,80.03
01:00,3.86,7.3,151.48
02:00,4.18,7.84,54.31
03:00,5.0,7.73,54.17
04:00,5.83,7.63,55.02
05:00,5.72,7.45,57.03
06:00,5.54,7.35,57.38
07:00,4.73,7.72,56.8
08:00,4.53,6.44,55.53
09:00,3.46,1.84,166.28
10:00,3.46,3.13,63.0
11:00,5.4,2.87,70.39
12:00,3.34,2.74,66.69
13:00,3.95,4.53,63.02
14:00,3.51,2.66,137.92
15:00,6.65,5.52,54.34
16:00,5.22,5.07,57.86
17:00,4.31,2.72,67.36
18:00,4.1,3.26,72.23
19:00,3.71,3.42,57.1
20:00,4.63,5.09,54.52
21:00,5.79,5.19,55.85
22:00,3.0,6.39,53.34
23:00,3.76,5.62,53.38
23:30,6.94,5.32,54.51
