time,download,upload,ping
00:00,3.78,4.62,34.65
01:00,5.68,4.91,33.4
02:00,5.87,5.63,32.72
03:00,5.99,5.78,34.01
04:00,5.64,4.48,35.58
05:00,5.9,4.79,32.32
06:00,5.38,5.23,34.7
07:00,3.16,4.91,37.11
08:00,1.46,4.82,37.03
09:00,3.86,0.49,47.99
10:00,3.15,3.22,41.17
11:00,3.07,2.92,42.81
12:00,0.9,2.28,544.9
13:00,0.92,2.25,693.6
14:00,1.32,2.52,133.56
15:00,7.43,1.45,62.5
16:00,7.41,1.48,37.19
17:00,5.28,0.9,52.74
18:00,1.91,3.26,60.78
19:00,3.69,2.0,37.87
20:00,5.53,1.7,41.41
21:00,11.55,2.08,40.31
22:00,9.55,1.53,35.18
23:00,9.85,2.3,37.69
23:30,5.17,5.89,36.25
