time,download,upload,ping
00:00,2.93,5.61,51.38
01:00,2.35,3.15,60.02
02:00,2.71,3.11,59.88
03:00,2.4,3.26,61.56
04:00,2.52,3.14,60.42
05:00,2.37,3.1,64.13
06:00,2.2,3.12,62.95
07:00,4.39,1.89,65.65
08:00,4.56,1.78,60.24
09:00,4.7,7.89,54.51
10:00,3.87,5.9,51.45
11:00,5.64,2.6,61.63
12:00,5.3,2.4,70.27
13:00,7.56,3.68,55.87
14:00,4.65,2.26,59.72
15:00,4.85,2.8,71.78
16:00,6.19,2.72,59.81
17:00,5.8,2.37,64.07
18:00,5.42,2.65,59.8
19:00,6.29,4.97,52.56
20:00,6.03,5.75,51.95
21:00,4.49,5.46,51.16
22:00,2.91,4.63,52.57
23:00,3.83,3.41,55.02
23:30,3.35,2.96,62.66
