time,download,upload,ping
00:00,8.91,1.01,59.19
01:00,11.52,1.26,49.39
02:00,9.35,1.51,48.18
03:00,11.37,1.71,61.98
04:00,10.81,2.62,45.77
05:00,9.88,3.12,47.14
06:00,10.39,4.69,53.1
07:00,7.48,4.51,49.01
08:00,8.13,5.17,44.17
09:00,8.04,3.75,56.85
10:00,8.82,1.06,62.37
11:00,8.99,0.82,58.02
12:00,11.41,1.58,45.86
13:00,9.56,2.89,55.37
14:00,10.39,4.04,63.12
15:00,11.21,3.31,54.68
16:00,8.68,1.35,55.64
17:00,9.48,1.56,54.73
18:00,9.13,2.53,57.88
19:00,9.57,1.9,66.48
20:00,8.43,1.76,56.2
21:00,9.19,1.42,57.67
22:00,9.33,1.1,57.42
23:00,9.07,1.41,49.02
23:30,10.09,1.88,58.04
