time,download,upload,ping
00:05,9.25,4.11,54.52
01:05,9.61,5.73,52.67
02:05,9.85,6.92,53.94
03:05,9.62,7.25,55.13
04:05,9.56,7.24,54.5
05:05,9.76,7.43,54.53
06:05,9.6,7.08,53.14
07:05,9.16,6.54,54.81
08:05,9.4,6.47,53.75
09:05,7.72,5.42,51.13
10:05,4.04,4.96,46.79
11:05,9.89,6.31,43.52
12:05,11.36,6.64,43.48
13:05,10.22,5.44,52.04
14:05,9.68,4.41,51.11
15:05,6.7,4.51,56.56
16:05,0.51,2.22,1092.96
17:05,6.18,2.23,192.36
18:05,9.22,5.13,52.04
19:05,9.58,5.82,55.86
20:05,4.23,5.27,63.89
21:05,7.2,6.25,57.48
22:05,8.1,5.28,54.88
23:05,3.76,5.59,62.08
