time,download,upload,ping
00:00,2.05,5.31,64.79
01:00,1.9,5.32,43.52
02:00,2.3,5.23,43.52
03:00,2.45,4.9,42.03
04:00,2.31,5.54,41.86
05:00,2.38,5.38,43.02
06:00,2.33,5.08,38.97
07:00,2.35,5.24,38.53
08:00,2.19,5.01,39.54
09:00,2.36,5.79,55.7
10:00,3.14,5.76,58.19
11:00,4.57,5.64,40.79
12:00,3.63,5.12,49.69
13:00,0.57,1.7,1264.89
14:00,0.17,1.43,1124.26
15:00,5.5,5.26,38.26
16:00,5.16,5.39,48.05
17:00,6.01,5.32,47.04
18:00,0.22,2.1,320.7
19:00,5.87,1.96,52.85
20:00,5.34,2.39,46.53
21:00,3.73,1.27,51.36
22:00,3.62,1.94,50.03
23:00,4.86,2.07,53.04
23:30,6.12,2.52,46.5
