time,download,upload,ping
00:00,4.19,3.31,33.01
01:00,6.02,3.29,34.02
02:00,5.49,3.35,37.82
03:00,5.14,2.85,33.72
04:00,4.55,2.87,35.59
05:00,5.86,3.69,34.48
06:00,4.74,1.36,37.54
07:00,5.91,2.88,34.31
08:00,5.07,2.64,36.69
09:00,9.85,2.73,38.57
10:00,9.36,2.07,40.52
11:00,6.8,2.17,38.56
12:00,10.25,2.98,37.51
13:00,9.85,2.8,39.84
14:00,10.74,3.03,38.69
15:00,10.79,2.9,39.71
16:00,5.97,0.84,40.67
17:00,6.52,0.4,47.58
18:00,6.46,0.15,418.65
19:00,6.12,2.02,56.67
20:00,4.19,2.48,138.0
21:00,11.49,1.82,41.25
22:00,6.36,2.26,38.27
23:00,9.99,3.01,37.87
23:30,3.34,2.49,35.12
