time,download,upload,ping
00:00,3.33,0.46,52.93
01:00,3.95,0.48,47.8
02:00,7.36,4.32,37.06
03:00,7.36,3.93,33.02
04:00,4.81,0.58,43.48
05:00,3.89,0.52,39.76
06:00,4.17,0.52,42.3
07:00,4.45,0.51,46.01
08:00,3.88,0.55,40.21
09:00,6.84,4.87,35.69
10:00,6.84,5.4,35.27
12:00,6.88,8.62,35.96
13:00,5.64,6.69,35.11
14:00,8.96,4.41,35.48
15:00,7.07,4.2,36.99
16:00,6.06,4.7,31.33
17:00,6.19,3.46,37.92
18:00,5.92,6.95,45.52
19:00,7.59,0.55,39.99
20:00,4.87,0.56,40.76
21:00,8.42,1.2,41.51
22:00,4.78,0.85,39.05
23:00,6.41,1.12,33.63
23:30,6.99,1.83,43.6
