time,download,upload,ping
00:00,4.87,2.78,44.57
01:00,4.02,3.07,40.65
02:00,4.74,2.93,36.41
03:00,4.69,2.97,36.15
04:00,5.32,3.14,43.7
05:00,4.07,2.99,39.85
06:00,4.16,3.03,42.35
07:00,5.08,2.95,40.99
08:00,4.94,3.11,40.29
09:00,1.92,1.29,106.37
10:00,3.1,3.05,39.36
11:00,3.31,4.54,57.05
12:00,1.45,3.21,40.44
13:00,2.24,1.97,33.71
14:00,5.07,3.47,41.28
15:00,4.98,5.14,34.33
16:00,3.75,4.15,39.16
17:00,0.18,0.0,67.72
18:00,1.55,2.93,69.74
19:00,0.45,3.11,207.9
20:00,2.51,3.65,37.89
21:00,2.96,2.84,42.17
22:00,7.39,3.04,37.53
23:00,4.29,4.25,34.17
23:30,7.33,3.34,42.62
